obs_id,flare_number,start_mjd,end_mjd,duration_s,,rate_mean,rate_mean_err,,rate_max,rate_max_err,,energy_1e37erg,energy_err,,luminosity_1e34,luminosity_err,,flux_1e_minus12,flux_err,,fluence_ct,fluence_err,,hardness_ratio,hardness_ratio_err
22594,1,59385.11815,59385.19229,6406,0.050 $\pm$ 0.003,0.050,0.0028,0.206 $\pm$ 0.027,0.2062,0.0268,24.980 $\pm$ 0.318,24.9795,0.3178,3.900 $\pm$ 0.050,3.8996,0.0496,4.873 $\pm$ 0.063,4.8732,0.0625,319 $\pm$ 0.893,319,0.8932,1.185 $\pm$ 0.133,1.184931507,0.1331646983
14466,1,56128.55541,56128.55988,386,0.070 $\pm$ 0.014,0.070,0.0135,0.081 $\pm$ 0.016,0.0805,0.0158,2.862 $\pm$ 0.018,2.8617,0.0182,7.408 $\pm$ 0.047,7.4082,0.0472,9.258 $\pm$ 0.061,9.2577,0.0608,27 $\pm$ 0.365,27.0007,0.36450945,1.238 $\pm$ 0.363,1.238095238,0.3632508681
18055,1,57431.50678,57431.55217,3922,0.042 $\pm$ 0.003,0.042,0.0033,0.119 $\pm$ 0.021,0.1187,0.0205,11.337 $\pm$ 0.288,11.3374,0.288,2.891 $\pm$ 0.073,2.8907,0.0734,3.612 $\pm$ 0.092,3.6124,0.0919,166 $\pm$ 0.548,166,0.5478,1.101 $\pm$ 0.171,1.101265823,0.1711484749
18055,2,57431.65013,57431.67533,2178,0.083 $\pm$ 0.006,0.083,0.0062,0.131 $\pm$ 0.021,0.131,0.0214,13.690 $\pm$ 0.160,13.6902,0.1599,6.286 $\pm$ 0.073,6.2863,0.0734,7.856 $\pm$ 0.093,7.8558,0.0926,180 $\pm$ 1.116,180.0015,1.1160093,1.368 $\pm$ 0.207,1.368421053,0.2065059331
13845,1,56067.86922,56068.03139,14011,0.017 $\pm$ 0.001,0.017,0.0011,0.109 $\pm$ 0.018,0.1085,0.0179,17.473 $\pm$ 0.379,17.4727,0.3794,1.247 $\pm$ 0.027,1.247,0.0271,1.558 $\pm$ 0.034,1.5584,0.0339,238 $\pm$ 0.262,238,0.2618,1.442 $\pm$ 0.098,1.441734417,0.09767393002
13842,1,56130.19184,56130.22941,3246,0.038 $\pm$ 0.003,0.038,0.0034,0.061 $\pm$ 0.014,0.0613,0.0139,11.991 $\pm$ 0.127,11.9905,0.1274,3.694 $\pm$ 0.039,3.6939,0.0392,4.616 $\pm$ 0.050,4.6161,0.0496,123 $\pm$ 0.418,123.0006,0.41820204,1.289 $\pm$ 0.161,1.289473684,0.1609243057
13842,2,56130.91328,56130.92399,925,0.055 $\pm$ 0.008,0.055,0.0077,0.077 $\pm$ 0.016,0.0767,0.0155,5.296 $\pm$ 0.036,5.2964,0.0363,5.726 $\pm$ 0.039,5.7264,0.0392,7.156 $\pm$ 0.050,7.1561,0.0503,51 $\pm$ 0.393,50.998,0.3926846,1.474 $\pm$ 0.310,1.473684211,0.3097294814
13842,3,56131.49880,56131.58747,7661,0.022 $\pm$ 0.002,0.022,0.0017,0.043 $\pm$ 0.012,0.0426,0.0117,13.768 $\pm$ 0.301,13.7684,0.3006,1.797 $\pm$ 0.039,1.7973,0.0392,2.246 $\pm$ 0.049,2.246,0.0492,167 $\pm$ 0.284,167.0007,0.28390119,1.860 $\pm$ 0.176,1.859649123,0.176349334
3392,1,52420.17534,52420.21044,3033,0.022 $\pm$ 0.003,0.022,0.0027,0.045 $\pm$ 0.012,0.045,0.0117,4.357 $\pm$ 0.077,4.357,0.0765,1.437 $\pm$ 0.025,1.4367,0.0252,1.795 $\pm$ 0.032,1.7953,0.0317,66 $\pm$ 0.178,65.9992,0.17819784,2.000 $\pm$ 0.522,2,0.5222329679
3392,2,52420.56900,52420.63095,5352,0.012 $\pm$ 0.002,0.012,0.0015,0.033 $\pm$ 0.010,0.0327,0.0101,3.439 $\pm$ 0.135,3.4391,0.135,0.643 $\pm$ 0.025,0.6425,0.0252,0.803 $\pm$ 0.032,0.8029,0.0316,66 $\pm$ 0.099,66,0.099,0.833 $\pm$ 0.206,0.8333333333,0.2060055135
3392,3,52421.23678,52421.24898,1054,0.028 $\pm$ 0.005,0.028,0.0051,0.029 $\pm$ 0.010,0.0288,0.0096,2.025 $\pm$ 0.027,2.0247,0.0266,1.921 $\pm$ 0.025,1.9213,0.0252,2.401 $\pm$ 0.032,2.401,0.0318,29 $\pm$ 0.148,28.9993,0.14789643,1.900 $\pm$ 0.742,1.9,0.7422937424
14432,1,56138.56140,56138.61387,4534,0.014 $\pm$ 0.002,0.014,0.0017,0.021 $\pm$ 0.008,0.0205,0.0083,4.034 $\pm$ 0.161,4.0343,0.1612,0.890 $\pm$ 0.036,0.8898,0.0356,1.112 $\pm$ 0.045,1.112,0.0445,61 $\pm$ 0.104,60.9995,0.10369915,1.640 $\pm$ 0.208,1.64,0.2080769089
14432,2,56139.37835,56139.42095,3681,0.051 $\pm$ 0.004,0.051,0.0037,0.114 $\pm$ 0.019,0.1142,0.0185,19.713 $\pm$ 0.131,19.7131,0.1309,5.355 $\pm$ 0.036,5.3553,0.0356,6.692 $\pm$ 0.046,6.6923,0.0457,189 $\pm$ 0.699,189,0.6993,1.762 $\pm$ 0.193,1.761538462,0.1934416273
22592,1,59357.20331,59357.26016,4911,0.026 $\pm$ 0.002,0.026,0.0023,0.085 $\pm$ 0.017,0.0849,0.0171,8.142 $\pm$ 0.335,8.1418,0.335,1.658 $\pm$ 0.068,1.6577,0.0682,2.072 $\pm$ 0.085,2.0716,0.0853,127 $\pm$ 0.292,127,0.2921,1.190 $\pm$ 0.212,1.189655172,0.2119260851
