obs_id,flare_number,start_mjd,end_mjd,duration_s,Mean Rate,Max Rate,Energy (1e37erg),Luminosity (1e34),Flux (1e-12),Fluence,Hardness Ratio,Shape
15045,1,56593.67151,56593.69812,2299,0.030 $\pm$ 0.004,0.041 $\pm$ 0.013,4.713 $\pm$ 0.098,2.050 $\pm$ 0.043,2.562 $\pm$ 0.053,68 $\pm$ 0.251,1.176 $\pm$ 0.274,1
15045,2,56593.82750,56593.83845,946,0.028 $\pm$ 0.006,0.041 $\pm$ 0.013,1.817 $\pm$ 0.040,1.920 $\pm$ 0.043,2.400 $\pm$ 0.053,26 $\pm$ 0.151,1.636 $\pm$ 0.626,1
16508,1,56710.02156,56710.04671,2173,0.021 $\pm$ 0.003,0.040 $\pm$ 0.012,3.037 $\pm$ 0.066,1.397 $\pm$ 0.030,1.746 $\pm$ 0.038,45 $\pm$ 0.145,2.769 $\pm$ 0.896,1
16217,1,56899.48990,56899.54752,4978,0.017 $\pm$ 0.002,0.039 $\pm$ 0.012,5.547 $\pm$ 0.204,1.114 $\pm$ 0.041,1.393 $\pm$ 0.051,87 $\pm$ 0.165,1.136 $\pm$ 0.235,2
16218,1,56950.55216,56950.62667,6437,0.126 $\pm$ 0.004,0.633 $\pm$ 0.044,65.747 $\pm$ 0.316,10.213 $\pm$ 0.049,12.763 $\pm$ 0.065,811 $\pm$ 3.568,1.511 $\pm$ 0.108,3
16963,1,57066.24917,57066.25923,869,0.045 $\pm$ 0.007,0.059 $\pm$ 0.015,2.976 $\pm$ 0.040,3.425 $\pm$ 0.046,4.281 $\pm$ 0.058,39 $\pm$ 0.285,2.333 $\pm$ 0.805,1
16966,1,57156.50785,57156.54187,2940,0.056 $\pm$ 0.004,0.143 $\pm$ 0.022,12.502 $\pm$ 0.183,4.252 $\pm$ 0.062,5.314 $\pm$ 0.078,164 $\pm$ 0.722,1.412 $\pm$ 0.224,2
18055,1,57431.50678,57431.55217,3922,0.042 $\pm$ 0.003,0.119 $\pm$ 0.021,11.337 $\pm$ 0.288,2.891 $\pm$ 0.073,3.612 $\pm$ 0.092,166 $\pm$ 0.548,1.101 $\pm$ 0.171,2
18055,2,57431.65013,57431.67533,2178,0.083 $\pm$ 0.006,0.131 $\pm$ 0.021,13.690 $\pm$ 0.160,6.286 $\pm$ 0.073,7.856 $\pm$ 0.093,180 $\pm$ 1.116,1.368 $\pm$ 0.207,2
18731,1,57581.95206,57581.96252,904,0.035 $\pm$ 0.006,0.064 $\pm$ 0.015,2.276 $\pm$ 0.021,2.519 $\pm$ 0.024,3.147 $\pm$ 0.030,32 $\pm$ 0.202,1.462 $\pm$ 0.526,1
18732,1,57587.62798,57587.65766,2564,0.022 $\pm$ 0.003,0.045 $\pm$ 0.013,3.709 $\pm$ 0.057,1.447 $\pm$ 0.022,1.808 $\pm$ 0.028,57 $\pm$ 0.165,1.036 $\pm$ 0.274,2
