obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct
13843,13843_SGRA_TABLE_RESULTS.txt,1,56223.3782249419,56223.4728285995,8173.699199999999,0.0345,0.0021,0.1294,0.0197,26.8027,24.4181,3.2791,2.9874,4.0978,3.7333,282.0
3393,03393_SGRA_TABLE_RESULTS.txt,1,52422.637211519,52422.6752940158,3290.3712,0.1055,0.0057,0.3099,0.0221,27.915,21.6973,8.4839,6.5942,10.602,8.2406,347.0
3393,03393_SGRA_TABLE_RESULTS.txt,2,52423.2387870099,52423.3009367529,5369.759999999999,0.0336,0.0025,0.0936,0.0158,13.0474,15.723,2.4298,2.9281,3.0364,3.6591,180.1951
3393,03393_SGRA_TABLE_RESULTS.txt,3,52423.7816468181,52423.7936077478,1033.4304,0.0706,0.0082,0.0829,0.0151,5.7306,9.8757,5.5452,9.5562,6.9297,11.9421,72.9167
21456,21456_SGRA_TABLE_RESULTS.txt,1,58574.4761701491,58574.4931112524,1463.7024000000001,0.0306,0.0045,0.0524,0.0138,3.1798,7.753,2.1724,5.2968,2.7148,6.6193,44.8379
16218,16218_SGRA_TABLE_RESULTS.txt,1,56950.5544094067,56950.6266658518,6242.832,0.1434,0.0048,0.6212,0.0433,72.7024,35.0679,11.6457,5.6173,14.5533,7.0198,895.0
14943,14943_SGRA_TABLE_RESULTS.txt,1,56582.6665606405,56582.6804823447,1202.8608,0.0157,0.0042,0.0224,0.0104,1.513,5.8688,1.2579,4.8791,1.5719,6.0972,18.9072
25297,25297_SGRA_TABLE_RESULTS.txt,1,59658.3361333637,59658.413494944,6684.0768,0.0142,0.0015,0.0402,0.012,5.1998,12.5802,0.7779,1.8821,0.9722,2.352,95.0837
14944,14944_SGRA_TABLE_RESULTS.txt,1,56555.4618971529,56555.4854216868,2032.5600000000002,0.0164,0.0032,0.0349,0.0122,2.2901,7.8404,1.1267,3.8574,1.408,4.8205,33.3356
16217,16217_SGRA_TABLE_RESULTS.txt,1,56899.4898996371,56899.5475196609,4978.3679999999995,0.0174,0.0019,0.0434,0.0127,5.6301,11.6144,1.1309,2.333,1.4133,2.9154,86.8221
23739,23739_SGRA_TABLE_RESULTS.txt,1,59425.001908363,59425.0477052716,3956.8608000000004,0.1034,0.0051,0.4952,0.0375,32.5717,23.662,8.2317,5.98,10.2869,7.473,409.0
