obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct,fluence_err,fluence_ct,hardness_ratio,Shape
3393,03393_SGRA_TABLE_RESULTS.txt,1,52422.637211519,52422.6752940158,3290.3712,0.1055,0.0057,0.3099,0.0221,27.915,21.6973,8.4839,6.5942,10.602,8.2406,347.0,18.7551,348.0,1.7263157894736800,2
3393,03393_SGRA_TABLE_RESULTS.txt,2,52423.2387870099,52423.3009367529,5369.760000000000,0.0336,0.0025,0.0936,0.0158,13.0474,15.723,2.4298,2.9281,3.0364,3.6591,180.1951,13.4244,181.5066,1.912280701754390,2
3393,03393_SGRA_TABLE_RESULTS.txt,3,52423.7816468181,52423.7936077478,1033.4304,0.0706,0.0082,0.0829,0.0151,5.7306,9.8757,5.5452,9.5562,6.9297,11.9421,72.9167,8.4741,72.572,1.5416666666666700,1
21456,21456_SGRA_TABLE_RESULTS.txt,1,58574.4761701491,58574.4931112524,1463.7024000000000,0.0306,0.0045,0.0524,0.0138,3.1798,7.753,2.1724,5.2968,2.7148,6.6193,44.8379,6.5866608,45.6824,1.25,2
16218,16218_SGRA_TABLE_RESULTS.txt,1,56950.5544094067,56950.6266658518,6242.832,0.1434,0.0048,0.6212,0.0433,72.7024,35.0679,11.6457,5.6173,14.5533,7.0198,895.0,29.9655936,904.0,1.4907407407407400,3
14943,14943_SGRA_TABLE_RESULTS.txt,1,56582.6665606405,56582.6804823447,1202.8608,0.0157,0.0042,0.0224,0.0104,1.513,5.8688,1.2579,4.8791,1.5719,6.0972,18.9072,5.0520,95.6263,1.0,2
25297,25297_SGRA_TABLE_RESULTS.txt,1,59658.3361333637,59658.413494944,6684.0768,0.0142,0.0015,0.0402,0.012,5.1998,12.5802,0.7779,1.8821,0.9722,2.352,95.0837,10.0261,42.4741,1.2608695652173900,2
14944,14944_SGRA_TABLE_RESULTS.txt,1,56555.4618971529,56555.4854216868,2032.5600000000000,0.0164,0.0032,0.0349,0.0122,2.2901,7.8404,1.1267,3.8574,1.408,4.8205,33.3356,6.504192,81.9249,1.170731707317070,2
16217,16217_SGRA_TABLE_RESULTS.txt,1,56899.4898996371,56899.5475196609,4978.3680000000000,0.0174,0.0019,0.0434,0.0127,5.6301,11.6144,1.1309,2.333,1.4133,2.9154,86.8221,9.4588992,408.0,1.6521739130434800,2
23739,23739_SGRA_TABLE_RESULTS.txt,1,59425.001908363,59425.0477052716,3956.8608000000000,0.1034,0.0051,0.4952,0.0375,32.5717,23.662,8.2317,5.98,10.2869,7.473,409.0,20.17999008,69.706,1.1714285714285700,2
15045,15045_SGRA_TABLE_RESULTS.txt,1,56593.6715066504,56593.6981197756,2299.3632000000000,0.0308,0.0038,0.0376,0.0122,4.9098,10.2993,2.1353,4.4792,2.6684,5.5975,70.7986,8.73758016,26.353,1.6363636363636400,1
15045,15045_SGRA_TABLE_RESULTS.txt,2,56593.8274951275,56593.8384486763,946.4256,0.0283,0.0057,0.041,0.0127,1.8236,6.2891,1.9268,6.6451,2.4078,8.3041,26.7974,5.3946,111.1687,1.3095238095238100,2
5953,05953_SGRA_TABLE_RESULTS.txt,1,53581.9306907625,53581.9555373808,2146.7808,0.0522,0.0049,0.0894,0.0155,8.6051,12.2893,4.0084,5.7245,5.0092,7.1538,111.9712,10.5192,33.5517,1.0526315789473700,1
15042,15042_SGRA_TABLE_RESULTS.txt,1,56516.357766536,56516.4875383058,11212.300800000000,0.0151,0.0013,0.0489,0.014,10.7313,18.5423,0.9571,1.6537,1.1961,2.0666,169.2525,14.57599104,77.4197,1.2195121951219500,2
1561,01561_SGRA_TABLE_RESULTS.txt,1,51844.1051536376,51844.1128804099,667.6128,0.0359,0.0072,0.0421,0.0112,1.7242,5.596,2.5827,8.3821,3.2275,10.4748,23.9998,4.8068,24.6768,1.2,1
1561,01561_SGRA_TABLE_RESULTS.txt,2,51844.1588659553,51844.2795123523,10423.900800000000,0.0909,0.003,0.3913,0.0224,75.191,36.4975,7.2133,3.5013,9.0143,4.3755,948.0,31.2717024,975.0,1.9264069264069300,3
18731,18731_SGRA_TABLE_RESULTS.txt,1,57581.9520631348,57581.9625245837,903.8304000000000,0.0361,0.0063,0.0639,0.0152,2.3243,6.5857,2.5716,7.2864,3.2137,9.1056,32.61,5.69413152,32.3862,1.4615384615384600,1
3663,03663_SGRA_TABLE_RESULTS.txt,1,52418.8011211186,52418.8559271925,4735.2384,0.0215,0.0021,0.0451,0.0117,6.3238,11.9731,1.3355,2.5285,1.6689,3.1598,101.8132,9.9440,97.251,1.6857142857142900,2
14392,14392_SGRA_TABLE_RESULTS.txt,1,55966.4300207317,55966.4544349776,2109.3696,0.0215,0.0032,0.0392,0.0112,3.6598,9.7598,1.735,4.6269,2.1682,5.7821,45.4547,6.7500,46.8082,1.5087719298245600,1
14392,14392_SGRA_TABLE_RESULTS.txt,2,55966.5986448471,55966.6639426611,5641.6608,0.1686,0.0055,0.369,0.0289,107.5407,44.4761,19.0619,7.8835,23.821,9.8518,951.0,31.0291,941.0,1.9263456090651600,3
15043,15043_SGRA_TABLE_RESULTS.txt,1,56549.0852479914,56549.1493475096,5538.153600000000,0.6804,0.0111,1.8647,0.0616,313.3324,71.4826,56.5771,12.9073,70.7026,16.1302,3768.0,61.47350496,3826.0,1.736426456071080,3
5952,05952_SGRA_TABLE_RESULTS.txt,1,53581.1097515494,53581.1501751383,3492.6336,0.0217,0.0025,0.0406,0.0112,4.7217,10.2697,1.3519,2.9404,1.6894,3.6745,75.7944,8.7316,74.4007,1.0571428571428600,2
20751,20751_SGRA_TABLE_RESULTS.txt,1,58715.156961405,58715.2262554391,5987.0016000000000,0.2235,0.0061,0.8814,0.0492,110.1495,42.7193,18.3981,7.1353,22.9915,8.9169,1338.0,36.52070976,1352.0,1.5422222222222200,3
14427,14427_SGRA_TABLE_RESULTS.txt,1,56054.1011198334,56054.1589818384,4999.2768,0.02,0.002,0.0349,0.0107,8.3503,14.6596,1.6703,2.9323,2.0873,3.6644,99.7944,9.9985536,98.8182,1.4573643410852700,2
14427,14427_SGRA_TABLE_RESULTS.txt,2,56054.472124744,56054.4975012336,2192.4864,0.0192,0.003,0.0349,0.0107,3.4735,9.4158,1.5843,4.2946,1.9798,5.3668,42.165,6.5774592,41.7408,1.4745762711864400,1
13857,13857_SGRA_TABLE_RESULTS.txt,1,56003.6701941419,56003.6760472825,505.69920000000000,0.0373,0.0084,0.0352,0.0112,1.8061,6.1032,3.5715,12.0688,4.4631,15.082,18.856,4.24787328,16.6617,2.2857142857142900,1
23666,23666_SGRA_TABLE_RESULTS.txt,1,59315.5674243423,59315.5751048431,663.6384,0.0297,0.0066,0.0456,0.0127,1.3696,5.0823,2.0637,7.6582,2.579,9.5702,19.7355,4.3800,20.7363,1.8571428571428600,1
13851,13851_SGRA_TABLE_RESULTS.txt,1,56217.8122561849,56217.8742720065,5358.182400000000,0.0859,0.004,0.2163,0.0246,50.4527,30.8822,9.416,5.7636,11.7669,7.2026,460.0,21.4327296,458.0,1.8181818181818200,2
