obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct,fluence_err,hardness_ratio,hardness_ratio_err,Shape
14427,14427_SGRA_TABLE_RESULTS.txt,2,56054.472124744,56054.4975012336,2192.4864,0.0187,0.0029,0.0348,0.0107,3.323,0.12,1.5156,0.0548,1.894,0.0685,40.9992,0.1189,1.543859649122810,0.26249017576645,1
14427,14427_SGRA_TABLE_RESULTS.txt,1,56054.1011198334,56054.1589818384,4999.2768,0.0198,0.002,0.0348,0.0107,8.2269,0.2737,1.6456,0.0548,2.0565,0.0685,99.0,0.198,1.5934959349593500,0.1833013696383950,1
13847,13847_SGRA_TABLE_RESULTS.txt,1,56048.5152617972,56048.5528192105,3244.9248,0.0237,0.0027,0.0426,0.0117,6.562,0.1096,2.0222,0.0338,2.5271,0.0424,76.9992,0.2079,1.6551724137931000,0.22475447991839500,2
13854,13854_SGRA_TABLE_RESULTS.txt,4,56006.6828494131,56006.6875037033,402.1056,0.0995,0.0157,0.1069,0.0179,4.3314,0.0494,10.7718,0.1228,13.4612,0.1549,39.9975,0.6280,1.3703703703703700,0.3468527984478270,1
13854,13854_SGRA_TABLE_RESULTS.txt,3,56006.5856100532,56006.5968083155,967.5072,0.0517,0.0073,0.0696,0.0147,4.9723,0.1188,5.1393,0.1228,6.4224,0.1538,49.9988,0.3650,1.2,0.25690465157330300,1
13854,13854_SGRA_TABLE_RESULTS.txt,2,56006.5288187797,56006.5381451058,805.7664,0.0546,0.0082,0.0658,0.0143,4.419,0.0989,5.4842,0.1228,6.8534,0.1538,43.9985,0.3608,1.6451612903225800,0.37467047721958200,1
13854,13854_SGRA_TABLE_RESULTS.txt,1,56006.4868983093,56006.4946421282,669.0816,0.0523,0.0088,0.0582,0.0135,3.4886,0.0822,5.214,0.1228,6.5158,0.1538,35.0008,0.3080,1.7307692307692300,0.4263589748334480,1
13857,13857_SGRA_TABLE_RESULTS.txt,1,56003.6696846569,56003.6760472825,549.7632,0.0346,0.0079,0.0466,0.0117,1.7853,0.0347,3.2474,0.0632,4.0581,0.0792,19.0011,0.1501,2.642857142857140,0.8292660705367370,1
14392,14392_SGRA_TABLE_RESULTS.txt,2,55966.5986448471,55966.6639426611,5641.6608,0.1319,0.0048,0.374,0.0291,82.8194,0.3567,14.68,0.0632,18.3451,0.0842,744.0,3.5712,1.9129213483146100,0.12510882266593000,3
14392,14392_SGRA_TABLE_RESULTS.txt,1,55966.4300207317,55966.4544895131,2114.1216,0.0213,0.0032,0.039,0.0112,3.4806,0.1337,1.6463,0.0632,2.0574,0.0791,45.0004,0.1440,1.4736842105263200,0.25289306258411600,1
