obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct,Shape,hardness_ratio,hardness_ratio_err,median_rate,median_rate_err,snr
21454,21454_SGRA_TABLE_RESULTS.txt,2,58572.4597801484,58572.47792354,1567.6416,0.044,0.0053,0.122,0.0208,4.9301,9.7289,3.1449,6.2061,3.9301,7.7555,69.0,1,1.6538461538461500,0.41086462558281,0.043787474249202800,0.021412794897797200,1.383890162115340
14462,14462_SGRA_TABLE_RESULTS.txt,2,56208.1855341209,56208.2160148706,2633.5584,0.0258,0.0031,0.0537,0.0131,6.0369,11.8841,2.2923,4.5126,2.8646,5.6392,68.0006,1,1.547945205479450,0.232440287357711,0.027998000859025900,0.005407274179160060,5.111749471840580
3392,03392_SGRA_TABLE_RESULTS.txt,2,52420.568998866,52420.6309489083,5352.48,0.0123,0.0015,0.0327,0.0101,3.4391,9.6309,0.6425,1.7993,0.8029,2.2486,66.0,1,0.8333333333333330,0.206005513530435,0.010316679170166700,0.002312490208458120,2.347213002592530
3392,03392_SGRA_TABLE_RESULTS.txt,1,52420.1753393984,52420.2104408491,3032.7264,0.0218,0.0027,0.045,0.0117,4.357,9.5075,1.4367,3.135,1.7953,3.9177,65.9992,1,2.0,0.5222329678670940,0.01934765325645280,0.0038778841962519900,4.587648022878200
14468,14468_SGRA_TABLE_RESULTS.txt,2,56231.5642457846,56231.5894560817,2178.144,0.0303,0.0037,0.0546,0.0131,6.2658,11.687,2.8767,5.3656,3.5949,6.7052,65.9992,2,1.5932203389830500,0.2646254592570190,0.03541153241725970,0.006770869867489880,5.569922243628710
14463,14463_SGRA_TABLE_RESULTS.txt,1,56216.2380469755,56216.2441176205,524.5344,0.1163,0.0149,0.0939,0.0169,6.7436,11.2243,12.8564,21.3986,16.0662,26.7411,61.0036,1,1.96875,0.4273730280189950,0.0938666548065993,0.0,8.77356801320102
19703,19703_SGRA_TABLE_RESULTS.txt,1,57949.9606547532,57950.0140103535,4609.9584,0.0132,0.0017,0.0261,0.0097,3.3571,9.2383,0.7282,2.004,0.9101,2.5043,61.0005,1,0.967741935483871,0.2478466220023950,0.014882057678163800,0.0025936779118321800,2.3444898498807700
14432,14432_SGRA_TABLE_RESULTS.txt,1,56138.5614005157,56138.6138749833,4533.7536,0.0135,0.0017,0.0205,0.0083,4.0343,11.3839,0.8898,2.5109,1.112,3.1378,60.9995,1,1.6122448979591800,0.2073048260598390,0.017026898374487200,0.0017445770909727400,1.0438548938198900
15045,15045_SGRA_TABLE_RESULTS.txt,1,56593.6715066504,56593.6977471714,2267.2224,0.0268,0.0036,0.0365,0.0122,4.4619,9.593,1.968,4.2312,2.4593,5.2875,60.8702,1,1.3928571428571400,0.345010774327893,0.028795426222151000,0.0022353285212905900,4.182970633938820
13852,13852_SGRA_TABLE_RESULTS.txt,1,56143.3215321682,56143.3356009205,1215.5616,0.0494,0.0064,0.0726,0.0151,6.0534,11.1322,4.98,9.1581,6.2233,11.4446,60.0011,1,1.9285714285714300,0.3667086291033960,0.04974660009631980,0.010469927373802900,9.372885226629210
3393,03393_SGRA_TABLE_RESULTS.txt,3,52423.7816468181,52423.7936077478,1033.4304,0.0571,0.0074,0.0786,0.0147,4.543,8.9415,4.3961,8.6523,5.4936,10.8125,59.0003,1,1.4583333333333300,0.3864943641484550,0.07349191555364540,0.0044688145009288200,3.177747571988260
23665,23665_SGRA_TABLE_RESULTS.txt,1,59314.3525806787,59314.3741622918,1864.6848,0.0311,0.0041,0.0489,0.0133,3.989,8.9399,2.1392,4.7943,2.6733,5.9913,58.001,1,1.148148148148150,0.3022380909790710,0.03945691239220720,0.005773426159133590,5.8602536582253100
18732,18732_SGRA_TABLE_RESULTS.txt,1,57587.6279846369,57587.6576560533,2563.5744,0.0222,0.0029,0.0445,0.0127,3.7091,8.8158,1.4468,3.4389,1.8081,4.2975,56.9992,2,1.0357142857142900,0.2744096499335920,0.018344778726067200,0.004812797522374670,5.099293911299830
31022,31022_SGRA_TABLE_RESULTS.txt,1,60899.1358604556,60899.1585146993,1957.3056,0.0261,0.0036,0.0436,0.0125,3.3346,8.3809,1.7037,4.2819,2.129,5.3509,50.9995,1,0.7,0.199164923283862,0.02521171915774390,0.00524385603272679,5.437116511522020
